time,flow,acc_precip,mean_pressure,mean_radiation,mean_relative_hum,mean_temp,temp_grass,temp_soil_10,temp_soil_30
2023-11-07 00:00:00,,0.0,998.2,0.0,99.0,3.5,1.1,9.0,9.6
2023-11-07 01:00:00,,0.0,998.5,0.0,99.2,5.2,1.8,8.9,9.6
2023-11-07 02:00:00,,0.0,998.8,0.0,99.2,6.1,3.2,8.8,9.6
2023-11-07 03:00:00,,0.0,998.9,0.0,99.0,7.1,6.5,8.7,9.6
2023-11-07 04:00:00,,2.5,999.2,0.0,98.0,7.6,7.2,8.7,9.5
2023-11-07 05:00:00,,0.0,999.4,0.0,98.0,7.6,7.3,8.6,9.5
2023-11-07 06:00:00,,0.0,999.8,0.0,97.5,6.7,5.3,8.6,9.5
2023-11-07 07:00:00,,0.0,1000.3,4.0,98.0,4.3,1.8,8.6,9.4
2023-11-07 08:00:00,1338.9375,0.0,1000.8,53.0,98.3,4.0,1.3,8.5,9.5
2023-11-07 09:00:00,2243.3276666666657,0.0,1001.1,162.0,98.5,7.6,5.6,8.5,9.4
2023-11-07 10:00:00,1988.2141666666664,0.0,1001.7,166.0,95.5,8.6,9.5,8.4,9.4
2023-11-07 11:00:00,1608.7036666666663,0.0,1002.0,275.0,88.0,10.0,12.1,8.4,9.4
2023-11-07 12:00:00,2953.427833333333,0.9,1002.2,121.0,89.3,9.9,10.8,8.4,9.4
2023-11-07 13:00:00,3221.463166666668,0.4,1002.3,56.0,95.0,9.2,9.2,8.5,9.4
2023-11-07 14:00:00,3281.678333333333,3.0,1002.6,51.0,95.2,8.6,8.7,8.5,9.3
2023-11-07 15:00:00,3388.226666666668,0.3,1002.6,49.0,97.0,8.8,8.7,8.6,9.3
2023-11-07 16:00:00,2809.57,0.0,1002.8,4.0,96.8,8.6,8.2,8.6,9.3
2023-11-07 17:00:00,2774.029010169492,0.2,1003.1,0.0,94.8,8.3,7.9,8.6,9.3
2023-11-07 18:00:00,2738.488020338983,0.8,1003.0,0.0,95.3,8.1,7.7,8.6,9.3
2023-11-07 19:00:00,2702.9470305084747,0.0,1002.8,0.0,95.3,7.6,6.9,8.7,9.3
2023-11-07 20:00:00,,0.0,1002.6,0.0,96.0,7.1,6.0,8.7,9.3
2023-11-07 21:00:00,,0.0,1002.6,0.0,96.8,6.3,4.9,8.7,9.3
2023-11-07 22:00:00,,0.0,1002.4,0.0,97.5,6.2,5.0,8.7,9.3
2023-11-07 23:00:00,,0.2,1002.4,0.0,98.0,6.4,5.5,8.6,9.3
2023-11-08 00:00:00,,0.0,1002.3,0.0,98.3,6.4,5.0,8.6,9.3
2023-11-08 01:00:00,,0.0,1002.2,0.0,98.0,7.1,6.5,8.6,9.3
2023-11-08 02:00:00,,0.4,1002.0,0.0,98.0,7.3,6.9,8.6,9.3
2023-11-08 03:00:00,,0.0,1001.6,0.0,98.0,6.7,5.5,8.6,9.3
2023-11-08 04:00:00,,0.0,1001.3,0.0,98.3,6.7,5.2,8.5,9.3
2023-11-08 05:00:00,,0.0,1001.4,0.0,98.0,7.1,5.8,8.5,9.3
2023-11-08 06:00:00,,0.0,1001.6,0.0,98.0,6.8,5.3,8.5,9.2
2023-11-08 07:00:00,,0.0,1002.1,3.0,98.0,6.0,3.0,8.5,9.3
2023-11-08 08:00:00,,0.0,1002.7,44.0,98.2,6.1,2.9,8.5,9.2
2023-11-08 09:00:00,,0.0,1003.2,170.0,95.0,7.8,7.5,8.4,9.2
2023-11-08 10:00:00,,0.0,1003.5,261.0,87.7,9.4,11.0,8.4,9.2
2023-11-08 11:00:00,,0.0,1003.8,234.0,85.5,9.9,11.3,8.3,9.2
2023-11-08 12:00:00,,0.0,1003.9,259.0,81.8,10.5,11.5,8.4,9.2
2023-11-08 13:00:00,,0.0,1004.3,203.0,79.7,10.5,10.5,8.5,9.2
2023-11-08 14:00:00,2027.668223728813,0.0,1004.5,127.0,79.8,10.7,9.8,8.5,9.2
2023-11-08 15:00:00,1992.1272338983044,0.0,1004.5,31.0,83.3,9.6,8.2,8.5,9.2
2023-11-08 16:00:00,1956.586244067796,0.0,1004.5,4.0,90.8,8.3,6.9,8.5,9.2
2023-11-08 17:00:00,1921.0452542372875,0.0,1004.3,0.0,93.3,7.7,6.2,8.5,9.2
2023-11-08 18:00:00,1478.5539999999996,0.0,1004.1,0.0,92.2,8.5,7.8,8.5,9.2
2023-11-08 19:00:00,2108.988,0.1,1003.7,0.0,92.3,8.4,7.8,8.6,9.2
2023-11-08 20:00:00,1464.9261666666669,0.0,1003.0,0.0,91.5,8.6,8.0,8.6,9.1
2023-11-08 21:00:00,1871.425,0.0,1002.2,0.0,91.2,8.5,8.0,8.6,9.2
2023-11-08 22:00:00,2249.3345,0.5,1001.3,0.0,93.3,8.3,8.0,8.6,9.2
2023-11-08 23:00:00,2822.94,1.2,1000.5,0.0,96.0,8.0,7.9,8.6,9.2
2023-11-09 00:00:00,2766.880024213075,0.1,999.8,0.0,96.7,8.0,7.9,8.6,9.2
2023-11-09 01:00:00,2710.82004842615,0.0,999.2,0.0,97.0,8.0,7.9,8.6,9.2
2023-11-09 02:00:00,2654.760072639225,0.0,998.5,0.0,97.0,8.2,8.1,8.6,9.2
2023-11-09 03:00:00,2598.7000968523,0.0,998.0,0.0,97.0,8.4,8.2,8.6,9.2
2023-11-09 04:00:00,2542.640121065375,0.0,997.7,0.0,97.7,8.6,8.4,8.7,9.2
2023-11-09 05:00:00,2486.58014527845,0.0,997.5,0.0,98.3,8.7,8.6,8.7,9.2
2023-11-09 06:00:00,2430.520169491525,0.4,997.3,0.0,99.0,8.8,8.7,8.7,9.2
2023-11-09 07:00:00,2157.5893333333333,0.1,997.1,1.0,99.0,8.6,8.4,8.7,9.2
2023-11-09 08:00:00,2540.690666666667,0.4,997.2,7.0,99.0,8.4,8.0,8.7,9.2
2023-11-09 09:00:00,4397.171833333333,2.0,997.3,18.0,99.0,8.6,8.5,8.7,9.2
2023-11-09 10:00:00,4694.880333333333,1.3,997.2,40.0,99.0,8.8,9.1,8.7,9.2
2023-11-09 11:00:00,3575.1821666666656,0.7,997.2,44.0,99.0,8.9,9.6,8.8,9.2
2023-11-09 12:00:00,2784.2455000000004,0.7,996.9,58.0,97.3,8.2,9.1,8.8,9.2
2023-11-09 13:00:00,3570.181666666667,0.0,996.5,89.0,94.5,8.2,9.2,8.8,9.2
2023-11-09 14:00:00,2545.8401666666678,0.2,996.8,56.0,96.2,8.5,9.1,8.8,9.2
2023-11-09 15:00:00,1358.96,0.0,996.8,24.0,96.8,8.3,8.8,8.8,9.2
2023-11-09 16:00:00,1515.089129943503,0.0,996.9,3.0,97.0,7.2,7.1,8.9,9.2
2023-11-09 17:00:00,1671.2182598870056,0.0,996.8,0.0,97.5,4.8,3.8,8.9,9.2
2023-11-09 18:00:00,1827.3473898305083,0.0,997.1,0.0,98.3,3.8,2.4,8.8,9.2
2023-11-09 19:00:00,,0.0,996.9,0.0,99.0,3.8,1.9,8.8,9.2
2023-11-09 20:00:00,,0.0,996.5,0.0,99.0,2.5,1.2,8.7,9.2
2023-11-09 21:00:00,,0.0,996.3,0.0,99.0,1.8,0.8,8.6,9.2
2023-11-09 22:00:00,,0.0,996.0,0.0,99.3,1.4,0.4,8.5,9.2
2023-11-09 23:00:00,,0.0,995.3,0.0,99.7,2.8,0.6,8.4,9.2
2023-11-10 00:00:00,,0.0,995.0,0.0,100.0,5.0,1.0,8.3,9.2
2023-11-10 01:00:00,,0.0,994.2,0.0,100.0,6.4,4.7,8.3,9.2
2023-11-10 02:00:00,,0.0,993.6,0.0,99.8,6.5,5.8,8.2,9.2
2023-11-10 03:00:00,3232.5095593220335,0.0,992.9,0.0,99.0,6.8,6.7,8.2,9.1
2023-11-10 04:00:00,3388.6386892655364,0.2,992.4,0.0,99.0,7.2,7.1,8.1,9.1
2023-11-10 05:00:00,3544.767819209039,1.0,992.1,0.0,98.8,7.2,7.1,8.1,9.2
2023-11-10 06:00:00,3700.8969491525418,1.1,992.0,0.0,98.0,6.9,6.8,8.1,9.1
2023-11-10 07:00:00,5624.0076666666655,2.5,992.2,0.0,98.2,6.5,6.5,8.2,9.1
2023-11-10 08:00:00,4766.756666666667,0.6,992.7,7.0,98.0,6.2,6.3,8.1,9.1
2023-11-10 09:00:00,3356.6916666666657,0.0,992.9,37.0,98.0,6.3,6.4,8.2,9.1
2023-11-10 10:00:00,2574.760333333333,0.0,993.1,109.0,96.7,6.9,7.4,8.2,9.0
2023-11-10 11:00:00,2018.8118333333327,0.0,993.2,125.0,92.5,7.8,8.2,8.2,9.0
2023-11-10 12:00:00,2825.2130000000016,0.0,993.5,247.0,86.2,8.8,9.4,8.2,9.0
2023-11-10 13:00:00,3055.51,0.0,993.6,164.0,86.2,8.8,9.4,8.3,9.0
2023-11-10 14:00:00,3071.50493239383,0.0,993.9,58.0,89.2,8.0,8.1,8.3,9.0
2023-11-10 15:00:00,3087.4998647876596,0.0,994.1,22.0,89.8,7.6,7.2,8.4,9.0
2023-11-10 16:00:00,3103.4947971814895,0.0,994.5,3.0,94.0,6.3,5.3,8.4,9.0
2023-11-10 17:00:00,,0.0,994.9,0.0,96.3,5.9,4.5,8.4,9.0
2023-11-10 18:00:00,,0.0,995.3,0.0,95.0,6.2,5.6,8.4,9.0
2023-11-10 19:00:00,,0.2,995.6,0.0,95.3,6.4,6.1,8.4,9.0
2023-11-10 20:00:00,,0.0,995.9,0.0,95.8,6.6,6.3,8.4,9.0
2023-11-10 21:00:00,,0.0,996.2,0.0,95.7,5.7,4.6,8.3,9.0
2023-11-10 22:00:00,,0.0,996.3,0.0,97.7,5.4,3.2,8.3,9.0
2023-11-10 23:00:00,,0.0,996.2,0.0,97.0,5.2,3.5,8.3,9.0
2023-11-11 00:00:00,,0.0,996.4,0.0,98.5,5.0,3.5,8.3,9.0
2023-11-11 01:00:00,,0.2,996.3,0.0,99.0,5.9,5.4,8.2,9.0
2023-11-11 02:00:00,,0.1,996.5,0.0,99.0,6.1,5.8,8.2,9.0
2023-11-11 03:00:00,,0.2,996.5,0.0,99.0,6.0,5.6,8.2,9.0
2023-11-11 04:00:00,,0.1,996.7,0.0,99.0,5.9,5.5,8.2,9.0
2023-11-11 05:00:00,,0.1,997.0,0.0,99.0,5.9,5.6,8.1,9.0
2023-11-11 06:00:00,,0.0,997.5,0.0,99.2,6.0,5.7,8.1,9.0
2023-11-11 07:00:00,,0.0,998.0,1.0,99.8,6.0,5.7,8.1,8.9
2023-11-11 08:00:00,,0.0,998.6,11.0,100.0,6.2,6.1,8.1,8.9
2023-11-11 09:00:00,,0.0,999.1,51.0,100.0,6.6,7.1,8.2,8.9
2023-11-11 10:00:00,,0.0,999.5,87.0,99.7,7.1,8.5,8.2,8.9
2023-11-11 11:00:00,,0.0,999.8,106.0,99.0,7.2,8.6,8.2,8.9
2023-11-11 12:00:00,,0.0,1000.1,125.0,98.2,7.6,9.5,8.2,8.9
2023-11-11 13:00:00,,0.0,1000.4,197.0,91.3,8.2,10.1,8.2,8.9
2023-11-11 14:00:00,,0.0,1000.8,54.0,95.3,7.7,8.0,8.3,8.9
2023-11-11 15:00:00,,0.0,1001.3,24.0,95.7,7.7,8.2,8.3,8.9
2023-11-11 16:00:00,,0.0,1001.7,2.0,96.7,7.0,6.8,8.3,8.9
2023-11-11 17:00:00,,0.0,1002.1,0.0,97.7,5.9,5.3,8.3,8.9
2023-11-11 18:00:00,,0.0,1002.7,0.0,98.0,4.3,3.0,8.3,8.9
2023-11-11 19:00:00,,0.0,1003.1,0.0,98.8,4.2,2.6,8.3,8.9
2023-11-11 20:00:00,,0.0,1003.4,0.0,99.0,4.8,4.3,8.2,8.9
2023-11-11 21:00:00,,0.0,1003.6,0.0,99.0,5.0,4.6,8.2,8.9
2023-11-11 22:00:00,,0.0,1003.4,0.0,99.0,5.1,4.7,8.2,8.9
2023-11-11 23:00:00,,0.0,1003.4,0.0,99.0,4.6,4.3,8.1,8.9
2023-11-12 00:00:00,,0.0,1003.4,0.0,99.2,4.5,4.1,8.1,8.9
2023-11-12 01:00:00,,0.0,1003.4,0.0,99.7,4.5,4.3,8.1,8.9
2023-11-12 02:00:00,,0.0,1003.2,0.0,99.8,4.3,4.3,8.1,8.9
2023-11-12 03:00:00,,0.0,1003.2,0.0,100.0,4.5,4.3,8.1,8.9
2023-11-12 04:00:00,,0.0,1003.3,0.0,100.0,4.4,4.2,8.0,8.9
2023-11-12 05:00:00,,0.0,1003.3,0.0,100.0,4.5,4.2,8.0,8.9
2023-11-12 06:00:00,,0.0,1003.4,0.0,100.0,4.7,4.4,8.0,8.9
2023-11-12 07:00:00,,0.0,1003.7,2.0,100.0,4.0,3.8,8.0,8.9
2023-11-12 08:00:00,,0.0,1004.1,25.0,100.0,3.7,3.0,8.0,8.8
2023-11-12 09:00:00,,0.0,1004.3,76.0,100.0,5.1,5.5,7.9,8.8
2023-11-12 10:00:00,,0.0,1004.5,70.0,100.0,6.5,7.5,7.9,8.8
2023-11-12 11:00:00,,0.0,1004.7,78.0,100.0,7.0,8.3,7.9,8.8
2023-11-12 12:00:00,,0.0,1004.6,241.0,97.2,7.5,9.6,8.0,8.8
2023-11-12 13:00:00,,0.0,1004.7,169.0,88.3,7.6,8.4,8.0,8.8
2023-11-12 14:00:00,,0.0,1004.8,114.0,85.7,7.8,7.5,8.0,8.8
2023-11-12 15:00:00,,0.0,1005.2,24.0,91.0,6.1,5.2,8.1,8.8
2023-11-12 16:00:00,,0.0,1005.4,3.0,96.0,3.6,2.1,8.1,8.8
2023-11-12 17:00:00,,0.0,1005.7,0.0,97.7,1.8,0.3,8.0,8.8
2023-11-12 18:00:00,,0.0,1006.1,0.0,98.8,2.2,0.7,8.0,8.8
2023-11-12 19:00:00,,0.0,1006.3,0.0,98.5,2.3,1.5,7.9,8.8
2023-11-12 20:00:00,,0.0,1006.6,0.0,99.0,0.1,-0.3,7.8,8.7
2023-11-12 21:00:00,,0.0,1006.8,0.0,99.0,-0.8,-1.0,7.7,8.8
2023-11-12 22:00:00,,0.0,1006.9,0.0,99.0,-1.1,-1.4,7.7,8.7
2023-11-12 23:00:00,,0.0,1007.1,0.0,99.0,-1.3,-1.7,7.6,8.7
2023-11-13 00:00:00,,0.0,1007.3,0.0,99.0,-1.4,-1.9,7.5,8.7
2023-11-13 01:00:00,,0.0,1007.3,0.0,99.8,-0.8,-1.4,7.4,8.7
2023-11-13 02:00:00,,0.0,1007.5,0.0,100.0,3.1,-1.3240963855421686,7.393902439024391,8.691463414634146
2023-11-13 03:00:00,,0.0,1007.1,0.0,98.2,3.3,-1.2481927710843372,7.387804878048781,8.682926829268292
2023-11-13 04:00:00,,0.0,1007.1,0.0,98.0,3.6,-1.172289156626506,7.381707317073171,8.674390243902439
2023-11-13 05:00:00,,0.3,1006.8,0.0,98.2,3.5,,,
2023-11-13 06:00:00,,0.0,1006.6,0.0,98.3,4.0,,,
2023-11-13 07:00:00,,0.0,1006.4,0.7,98.5,4.3,,,
2023-11-13 08:00:00,,0.0,1006.4,17.9,98.6,4.3,,,
2023-11-13 09:00:00,,0.0,1006.1,41.1,98.2,5.3,,,
2023-11-13 10:00:00,,0.0,1005.3,68.2,97.5,5.9,,,
2023-11-13 11:00:00,,0.0,1004.5,90.9,95.5,6.4,,,
2023-11-13 12:00:00,,0.0,1003.4,117.7,93.6,6.9,,,
2023-11-13 13:00:00,,0.0,1002.0,89.5,90.7,7.1,,,
2023-11-13 14:00:00,,0.0,1000.3,47.1,89.9,6.8,,,
2023-11-13 15:00:00,,0.0,998.8,12.1,89.2,6.5,,,
2023-11-13 16:00:00,,0.0,997.1,0.4,84.4,6.4,,,
2023-11-13 17:00:00,,0.0,996.3,0.0,84.0,6.3,,,
2023-11-13 18:00:00,,0.7,994.9,0.0,84.2,5.9,,,
2023-11-13 19:00:00,,3.2,993.7,0.0,86.3,5.4,,,
2023-11-13 20:00:00,,3.0,992.8,0.0,89.8,4.9,,,
2023-11-13 21:00:00,,2.3,992.0,0.0,91.9,4.9,,,
2023-11-13 22:00:00,,0.6,991.3,0.0,93.9,5.1,,,
2023-11-13 23:00:00,,0.4,990.5,0.0,95.0,5.2,,,
2023-11-14 00:00:00,,0.6,989.6,0.0,96.2,5.5,,,
2023-11-14 01:00:00,,1.1,988.6,0.0,96.5,5.9,,,
2023-11-14 02:00:00,,2.6,987.8,0.0,96.9,6.3,,,
2023-11-14 03:00:00,4431.074185869358,2.9,987.3,0.0,97.3,6.7,,,
2023-11-14 04:00:00,4447.069118263188,1.7,986.7,0.0,97.6,6.9,,,
2023-11-14 05:00:00,4463.064050657018,0.6,986.6,0.0,97.3,7.1,,,
2023-11-14 06:00:00,4479.058983050848,0.6,986.8,0.0,97.1,7.1,,,
2023-11-14 07:00:00,4177.107666666666,0.2,987.8,0.1,96.8,6.8,,,
2023-11-14 08:00:00,3222.491500000001,0.0,989.1,7.2,96.5,6.5,,,
2023-11-14 09:00:00,3076.829166666668,0.1,990.4,24.2,95.9,6.3,,,
2023-11-14 10:00:00,2953.502999999999,0.0,991.8,45.7,95.0,6.2,,,
2023-11-14 11:00:00,3219.9201666666663,0.0,992.8,53.2,94.6,6.1,,,
2023-11-14 12:00:00,2993.9695,0.1,993.6,61.6,95.8,5.8,,,
2023-11-14 13:00:00,2967.7263333333326,0.2,994.4,41.6,95.8,5.6,,,
2023-11-14 14:00:00,2743.041166666667,0.2,995.4,23.9,95.7,5.3,,,
2023-11-14 15:00:00,3061.2266386554643,0.4,996.3,8.6,95.6,5.1,,,
2023-11-14 16:00:00,3116.302833333334,0.2,997.1,0.6,95.5,4.9,,,
2023-11-14 17:00:00,2863.440833333332,0.2,998.0,0.0,95.2,4.7,,,
2023-11-14 18:00:00,3255.5144999999984,0.2,998.8,0.0,95.3,4.3,,,
2023-11-14 19:00:00,3073.393416666668,0.4,999.4,0.0,95.3,4.1,,,
2023-11-14 20:00:00,3089.5145000000016,0.0,1000.1,0.0,94.7,4.0,,,
2023-11-14 21:00:00,3032.001967213115,0.0,1000.6,0.0,94.6,4.0,,,
2023-11-14 22:00:00,2957.007166666668,0.0,1001.3,0.0,94.2,4.1,,,
2023-11-14 23:00:00,3225.67,0.0,1002.2,0.0,94.3,4.1,,,
2023-11-15 00:00:00,3121.986406779661,0.0,1003.1,0.0,94.5,4.1,,,
2023-11-15 01:00:00,3018.302813559322,0.1,1004.0,0.0,95.1,4.1,,,
2023-11-15 02:00:00,2914.6192203389833,0.3,1004.9,0.0,95.8,4.0,,,
2023-11-15 03:00:00,,0.3,1005.8,0.0,96.2,4.0,,,
2023-11-15 04:00:00,,0.0,1006.7,0.0,96.0,3.9,,,
2023-11-15 05:00:00,,0.0,1007.4,0.0,95.8,3.9,,,
2023-11-15 06:00:00,2499.8848474576275,0.0,1008.1,0.0,95.7,3.8,,,
2023-11-15 07:00:00,2396.2012542372886,0.0,1008.8,0.4,96.2,3.6,,,
2023-11-15 08:00:00,2292.5176610169497,0.0,1009.5,13.7,96.7,3.7,,,
2023-11-15 09:00:00,2188.8340677966107,0.0,1010.2,34.6,96.1,4.1,,,
2023-11-15 10:00:00,2309.7159999999994,0.0,1010.7,64.1,95.3,4.3,,,
2023-11-15 11:00:00,2642.3586666666665,0.5,1011.1,83.0,94.1,4.7,,,
2023-11-15 12:00:00,2581.306333333333,0.0,1011.1,75.9,92.4,4.9,,,
2023-11-15 13:00:00,2483.4875,0.0,1011.4,45.2,91.9,5.0,,,
2023-11-15 14:00:00,2750.545833333332,0.2,1011.6,27.3,93.0,4.9,,,
2023-11-15 15:00:00,2613.594705882354,0.4,1011.7,8.9,93.4,4.7,,,
2023-11-15 16:00:00,2636.7480000000014,0.4,1011.6,0.5,94.2,4.5,,,
2023-11-15 17:00:00,2689.164166666667,0.7,1011.5,0.0,95.7,4.3,,,
2023-11-15 18:00:00,3497.4697500000016,1.2,1011.3,0.0,95.6,4.3,,,
2023-11-15 19:00:00,5962.252166666664,2.1,1011.1,0.0,95.3,4.2,,,
2023-11-15 20:00:00,6120.732250000001,1.5,1010.7,0.0,94.7,4.1,,,
2023-11-15 21:00:00,5983.854590163935,1.8,1010.3,0.0,94.2,4.0,,,
2023-11-15 22:00:00,5604.603499999999,1.3,1009.9,0.0,93.9,3.9,,,
2023-11-15 23:00:00,5601.1,1.8,1009.4,0.0,93.8,3.9,,,
2023-11-16 00:00:00,5399.719975786926,1.5,1009.2,0.0,93.8,3.8,,,
2023-11-16 01:00:00,5198.33995157385,1.3,1009.1,0.0,94.3,3.6,,,
2023-11-16 02:00:00,4996.9599273607755,1.0,1009.2,0.0,93.8,3.5,,,
2023-11-16 03:00:00,4795.5799031477,0.4,1009.5,0.0,94.3,3.3,,,
2023-11-16 04:00:00,4594.199878934625,0.4,1009.8,0.0,94.8,3.2,,,
2023-11-16 05:00:00,4392.819854721551,0.4,1010.2,0.0,94.7,3.1,,,
2023-11-16 06:00:00,4191.439830508475,0.4,1010.6,0.0,94.3,3.0,,,
2023-11-16 07:00:00,3779.227833333334,0.2,1011.0,0.1,94.4,3.1,,,
2023-11-16 08:00:00,3391.8245,0.1,1011.2,9.3,94.0,3.3,,6.91829268292683,8.02560975609756
2023-11-16 09:00:00,3256.3635000000004,0.0,1011.5,43.5,92.2,3.6,4.672289156626507,6.912195121951219,8.017073170731708
2023-11-16 10:00:00,3050.8985000000007,0.0,1011.9,67.7,91.2,3.7,4.748192771084339,6.90609756097561,8.008536585365853
2023-11-16 11:00:00,2893.656833333333,0.0,1011.7,67.2,89.7,4.0,4.82409638554217,6.9,8.0
2023-11-16 12:00:00,2850.6829999999995,0.0,1011.7,104.0,88.0,4.4,4.9,6.9,8.0
2023-11-16 13:00:00,3158.180333333333,0.0,1011.8,96.0,89.0,4.4,4.9,6.9,8.0
2023-11-16 14:00:00,2927.405333333334,0.0,1011.6,48.0,89.0,4.4,4.8,6.9,8.0
2023-11-16 15:00:00,2798.375042016807,0.0,1011.3,21.0,91.3,4.0,4.1,7.0,8.0
2023-11-16 16:00:00,2792.7904166666663,0.0,1011.4,2.0,90.7,3.8,3.7,7.0,8.0
